Title,Link,Date,Source,Summary,Term,LanguageQueried
"Weather Update: Heavy Snow in Kashmir & Ladakh, Thunderstorms in Maharashtra & Karnataka, Heatwave in Odisha & Gujarat - Krishi Jagran",https://news.google.com/rss/articles/CBMi5gFBVV95cUxNTlREcG0zd0RyZHBYSHp6OHloZlRHSW9yQ01NaUJJNHE3SS1nSWlhR2JxUDBRWTlxR1dqYm1uVGVER0NLR0ItajlRdGk5U1J4bko1MHFjNkpaZ2h5ZVVXVUQ1dUE1NkFraGUtc0lNbnd3aHM4WEE5dlQ0SGlIN05EOUJCeEtlb1Qta25vODFYUGRxNzFCczV3Z0lTMEpUYnU5endfRmFsUzBpU3BZSkZKMFpKcFRFTjdGVUE5S0FNSzQ1R3pBZWNDaGxVSVVtdmdkaVVEREpNX0RFakVNTDBfWHNndzFvZw?oc=5,2025-03-27 06:37:30,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxNTlREcG0zd0RyZHBYSHp6OHloZlRHSW9yQ01NaUJJNHE3SS1nSWlhR2JxUDBRWTlxR1dqYm1uVGVER0NLR0ItajlRdGk5U1J4bko1MHFjNkpaZ2h5ZVVXVUQ1dUE1NkFraGUtc0lNbnd3aHM4WEE5dlQ0SGlIN05EOUJCeEtlb1Qta25vODFYUGRxNzFCczV3Z0lTMEpUYnU5endfRmFsUzBpU3BZSkZKMFpKcFRFTjdGVUE5S0FNSzQ1R3pBZWNDaGxVSVVtdmdkaVVEREpNX0RFakVNTDBfWHNndzFvZw?oc=5"" target=""_blank"">Weather Update: Heavy Snow in Kashmir & Ladakh, Thunderstorms in Maharashtra & Karnataka, Heatwave in Odisha & Gujarat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran </font>",Heatwave,en
IMD Issues Nationwide Weather Alert; Everything To Know - ETV Bharat,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQVWM1djVXN3Mwbi1YdkIzd0ViNWJUZUJhWTVvV3dvb20xWGhUWUllc3lkUDFIZmIzbFZ6LXhOcjdqVW9jc2pNaGRWU1M0T3lLOEpkNUJWT1RseF9hVm1RUV8wNWl4N2o2bEUycE1vb1pJSjNkSGl3Q3ZpcW84bTFnSWREaGRzbFZ4WjkteDJxUnktMkE2bk9aM2ZTX1lKbk5kN2hONHc4WXl3Z9IBrwFBVV95cUxPMWNua09RQWg0bHRJWFd6em9VUXp6V2pTQlhaYnNMbURCQnJ4bVpWUVR2WjFMVXFCaVRMcktqTFF0R1dVYzV4U2RVZVQwOUVKaXlkdE1aY2UtS2dIMmZSdXdSb1ZHNi1PQ0Z3WDFhM3RvbVFIekhZUnN3QlZVeW51ZWRhZ2puX0tWcGthOHBWRjN3YUM5d0l2bXNwanVPV0FmeDFjMV85R1FKQ2JkSGFR?oc=5,2025-03-26 17:06:44,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQVWM1djVXN3Mwbi1YdkIzd0ViNWJUZUJhWTVvV3dvb20xWGhUWUllc3lkUDFIZmIzbFZ6LXhOcjdqVW9jc2pNaGRWU1M0T3lLOEpkNUJWT1RseF9hVm1RUV8wNWl4N2o2bEUycE1vb1pJSjNkSGl3Q3ZpcW84bTFnSWREaGRzbFZ4WjkteDJxUnktMkE2bk9aM2ZTX1lKbk5kN2hONHc4WXl3Z9IBrwFBVV95cUxPMWNua09RQWg0bHRJWFd6em9VUXp6V2pTQlhaYnNMbURCQnJ4bVpWUVR2WjFMVXFCaVRMcktqTFF0R1dVYzV4U2RVZVQwOUVKaXlkdE1aY2UtS2dIMmZSdXdSb1ZHNi1PQ0Z3WDFhM3RvbVFIekhZUnN3QlZVeW51ZWRhZ2puX0tWcGthOHBWRjN3YUM5d0l2bXNwanVPV0FmeDFjMV85R1FKQ2JkSGFR?oc=5"" target=""_blank"">IMD Issues Nationwide Weather Alert; Everything To Know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Heatwave,en
"IMD predicts rainfall in several states, longer heatwave in Northwest - NewsBytes",https://news.google.com/rss/articles/CBMijgFBVV95cUxNbHJ1VHFLb3RZZzYwVF9sdzBsVU92TG5sdjAzWnN1SUVBV1pVa2pfdS1EZHJRaXJRR1B4bWJqazJ5SjY0MEttaHRNUXdFR0hRTWl4cmg2NWZwVnhMZWZMZFgwQl8yLVBYS0g4eW5hVUtJZnVoVk5UVUduTXhZek1xY2V3ZDlYMVlFWGFjNXZR?oc=5,2025-03-26 17:01:16,NewsBytes,"<a href=""https://news.google.com/rss/articles/CBMijgFBVV95cUxNbHJ1VHFLb3RZZzYwVF9sdzBsVU92TG5sdjAzWnN1SUVBV1pVa2pfdS1EZHJRaXJRR1B4bWJqazJ5SjY0MEttaHRNUXdFR0hRTWl4cmg2NWZwVnhMZWZMZFgwQl8yLVBYS0g4eW5hVUtJZnVoVk5UVUduTXhZek1xY2V3ZDlYMVlFWGFjNXZR?oc=5"" target=""_blank"">IMD predicts rainfall in several states, longer heatwave in Northwest</a>&nbsp;&nbsp;<font color=""#6f6f6f"">NewsBytes</font>",Heatwave,en
IMD Forecasts Rainfall And Heatwave Across India - Evrim Ağacı,https://news.google.com/rss/articles/CBMiigFBVV95cUxONWdvRTFtdWFSQnlIMGM2ZHZWUzRXOU5yOWF3bm9PYjF1Ujc3X2NmWUJiS24zNmVaQ1VUcFAtYTVGOHNQVUFCdlp1bkFLU3RwZy1MUHozMV9jYzZMbTdfSjd6RmhXY1dhRVppVDhrWXI2eXRreVJuMnZuNmc1Ty1tb2JaQkh5UGRUcWc?oc=5,2025-03-26 18:39:56,Evrim Ağacı,"<a href=""https://news.google.com/rss/articles/CBMiigFBVV95cUxONWdvRTFtdWFSQnlIMGM2ZHZWUzRXOU5yOWF3bm9PYjF1Ujc3X2NmWUJiS24zNmVaQ1VUcFAtYTVGOHNQVUFCdlp1bkFLU3RwZy1MUHozMV9jYzZMbTdfSjd6RmhXY1dhRVppVDhrWXI2eXRreVJuMnZuNmc1Ty1tb2JaQkh5UGRUcWc?oc=5"" target=""_blank"">IMD Forecasts Rainfall And Heatwave Across India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Evrim Ağacı</font>",Heatwave,en
Climate turns tables: Hill states prepare action plan for heatwave after last yr’s scorching summer - The Times of India,https://news.google.com/rss/articles/CBMigwJBVV95cUxNYzBFcmRNSHEtNUkyQTVzcE14MXVrTGZKMk1hREMxRFFGQTBSdkc4QkIwcUxsU3YxcEpLV3JRR3lhOXUtWmdxbDhLQWkyZWdBTXdadmxlOGtFbW95Uk51VTFsLUo3Q0cyVWFPSDlQM3RFcXJMRDlkeHVZalNoZWdJWGtyLXc2QjNRLXZZZWtPeGR6WlRWVGJlYTJaNmc4QWRxZHpPQ0ZGeHVTR3F6TlFVYUVMYjNvTGdvc1E3UFJNUmJMc0FCcGRXam03ZFFBWmtUaDBkamhDaW5leEZqZktiTFdNZ3AwMi1aR1FkX2JGb244Vmw2dDJhVlZaWDMzd1d0WGJ30gGIAkFVX3lxTFBUbFZoT1NQTzlHUTR6N3E0UDU2QWFYeUppZG9nekwwQ0tWb2N6dFpPZUxIQno5cjBqY0NybTJ4Q28waXh3NDJ4OXNLUlBPMGw0XzA5RDBvSmZEclB0aTRLWXFMdEF6UVRSSC1hYW1OWDctekZkZHItZk44Mmw5TmEwdHl3MGc5TlRjNllWWU11MUk0YnctWndMUTJSQ2dmSE93NWR3ZkpJemdqMFFJLUxvS1BMT1JKa2hHallyR1NiZUFOWTZDMDdEckhWaUJjZ0hzMzZBQ1Z4YW8yV3VvZ2drQ1pCdjZrUkNISHk3VTZkMGJJYjNGelJvSVpzRHZtSC1GMk9rb3JwYw?oc=5,2025-03-26 23:17:00,The Times of India,"<a href=""https://news.google.com/rss/articles/CBMigwJBVV95cUxNYzBFcmRNSHEtNUkyQTVzcE14MXVrTGZKMk1hREMxRFFGQTBSdkc4QkIwcUxsU3YxcEpLV3JRR3lhOXUtWmdxbDhLQWkyZWdBTXdadmxlOGtFbW95Uk51VTFsLUo3Q0cyVWFPSDlQM3RFcXJMRDlkeHVZalNoZWdJWGtyLXc2QjNRLXZZZWtPeGR6WlRWVGJlYTJaNmc4QWRxZHpPQ0ZGeHVTR3F6TlFVYUVMYjNvTGdvc1E3UFJNUmJMc0FCcGRXam03ZFFBWmtUaDBkamhDaW5leEZqZktiTFdNZ3AwMi1aR1FkX2JGb244Vmw2dDJhVlZaWDMzd1d0WGJ30gGIAkFVX3lxTFBUbFZoT1NQTzlHUTR6N3E0UDU2QWFYeUppZG9nekwwQ0tWb2N6dFpPZUxIQno5cjBqY0NybTJ4Q28waXh3NDJ4OXNLUlBPMGw0XzA5RDBvSmZEclB0aTRLWXFMdEF6UVRSSC1hYW1OWDctekZkZHItZk44Mmw5TmEwdHl3MGc5TlRjNllWWU11MUk0YnctWndMUTJSQ2dmSE93NWR3ZkpJemdqMFFJLUxvS1BMT1JKa2hHallyR1NiZUFOWTZDMDdEckhWaUJjZ0hzMzZBQ1Z4YW8yV3VvZ2drQ1pCdjZrUkNISHk3VTZkMGJJYjNGelJvSVpzRHZtSC1GMk9rb3JwYw?oc=5"" target=""_blank"">Climate turns tables: Hill states prepare action plan for heatwave after last yr’s scorching summer</a>&nbsp;&nbsp;<font color=""#6f6f6f"">The Times of India</font>",Heatwave,en
"Monsoon Update: Heavy Rain, Thunderstorm Warning Issued for Several States - Times Bull",https://news.google.com/rss/articles/CBMiqgFBVV95cUxPaGUtVFc3T2VXeG5UU01TVmVZdXNua1g4azdLdUZNakQzUkJCdElFUHFvVEZhdE1ZZnBHSW1aYkZTVWQycUQ4Y1FxSUxOMF9nTXd2WmxPX2VISExDbUNyRDNLTy1KVE45TnQ2UHhGczl5eVQwVWNvZTFORkxqZDUtZTRWS1FySnlsSkJVZDZ4b2RuU3AwekEyNWFpa2xUUGZzN3pvcDE5RGhuUQ?oc=5,2025-03-27 07:01:08,Times Bull,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxPaGUtVFc3T2VXeG5UU01TVmVZdXNua1g4azdLdUZNakQzUkJCdElFUHFvVEZhdE1ZZnBHSW1aYkZTVWQycUQ4Y1FxSUxOMF9nTXd2WmxPX2VISExDbUNyRDNLTy1KVE45TnQ2UHhGczl5eVQwVWNvZTFORkxqZDUtZTRWS1FySnlsSkJVZDZ4b2RuU3AwekEyNWFpa2xUUGZzN3pvcDE5RGhuUQ?oc=5"" target=""_blank"">Monsoon Update: Heavy Rain, Thunderstorm Warning Issued for Several States</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Times Bull</font>",Heatwave,en
IMD Forecasts Snowfall & Heavy Rainfall In Northern India - Global Green News,https://news.google.com/rss/articles/CBMimgFBVV95cUxOZmNnUnlHdkJ1SndydkV2ZzRTMjhzc0RXSGdOYmhXR1ZQb0NmbmRBVVpUUkt1Q1VwdTZtWXRVdU5DeFFyN2RTNzJHdHN3d3FxdWNnZDkwbFhEVHJqdTh4ODhnUUhidmY3TXF0OEpyTHRyaE1SUS14TU9WZWs1bFA1azRwc2dtU1A1SVpfb0NWSFNJb0N0X1Z0ODZB?oc=5,2025-03-26 22:11:32,Global Green News,"<a href=""https://news.google.com/rss/articles/CBMimgFBVV95cUxOZmNnUnlHdkJ1SndydkV2ZzRTMjhzc0RXSGdOYmhXR1ZQb0NmbmRBVVpUUkt1Q1VwdTZtWXRVdU5DeFFyN2RTNzJHdHN3d3FxdWNnZDkwbFhEVHJqdTh4ODhnUUhidmY3TXF0OEpyTHRyaE1SUS14TU9WZWs1bFA1azRwc2dtU1A1SVpfb0NWSFNJb0N0X1Z0ODZB?oc=5"" target=""_blank"">IMD Forecasts Snowfall & Heavy Rainfall In Northern India</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Global Green News</font>",Heatwave,en
Delhi Faces Heatwave While South Prepares For Rain - Evrim Ağacı,https://news.google.com/rss/articles/CBMijAFBVV95cUxNU3VsWEI4cUljc0liczdLVU9SX0RpSDlMd08xVEhEejNGZVVxNmpaN1djOHJuVS1zeThULUJnSUJzbG5CbzM1b2VMRGM5c3JOemxIVjZHTUt5ejFROXRkR3hzTWM1TGpPWnM2Q01xVGhMTkZzZnk5TXZKTlZ4ODl5a2FMYTgwMEFXMEtUQQ?oc=5,2025-03-26 18:10:10,Evrim Ağacı,"<a href=""https://news.google.com/rss/articles/CBMijAFBVV95cUxNU3VsWEI4cUljc0liczdLVU9SX0RpSDlMd08xVEhEejNGZVVxNmpaN1djOHJuVS1zeThULUJnSUJzbG5CbzM1b2VMRGM5c3JOemxIVjZHTUt5ejFROXRkR3hzTWM1TGpPWnM2Q01xVGhMTkZzZnk5TXZKTlZ4ODl5a2FMYTgwMEFXMEtUQQ?oc=5"" target=""_blank"">Delhi Faces Heatwave While South Prepares For Rain</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Evrim Ağacı</font>",Heatwave,en
"Weather Update: Heavy Snow in Kashmir & Ladakh, Thunderstorms in Maharashtra & Karnataka, Heatwave in Odisha & Gujarat - Krishi Jagran",https://news.google.com/rss/articles/CBMi5gFBVV95cUxNTlREcG0zd0RyZHBYSHp6OHloZlRHSW9yQ01NaUJJNHE3SS1nSWlhR2JxUDBRWTlxR1dqYm1uVGVER0NLR0ItajlRdGk5U1J4bko1MHFjNkpaZ2h5ZVVXVUQ1dUE1NkFraGUtc0lNbnd3aHM4WEE5dlQ0SGlIN05EOUJCeEtlb1Qta25vODFYUGRxNzFCczV3Z0lTMEpUYnU5endfRmFsUzBpU3BZSkZKMFpKcFRFTjdGVUE5S0FNSzQ1R3pBZWNDaGxVSVVtdmdkaVVEREpNX0RFakVNTDBfWHNndzFvZw?oc=5,2025-03-27 06:37:30,Krishi Jagran,"<a href=""https://news.google.com/rss/articles/CBMi5gFBVV95cUxNTlREcG0zd0RyZHBYSHp6OHloZlRHSW9yQ01NaUJJNHE3SS1nSWlhR2JxUDBRWTlxR1dqYm1uVGVER0NLR0ItajlRdGk5U1J4bko1MHFjNkpaZ2h5ZVVXVUQ1dUE1NkFraGUtc0lNbnd3aHM4WEE5dlQ0SGlIN05EOUJCeEtlb1Qta25vODFYUGRxNzFCczV3Z0lTMEpUYnU5endfRmFsUzBpU3BZSkZKMFpKcFRFTjdGVUE5S0FNSzQ1R3pBZWNDaGxVSVVtdmdkaVVEREpNX0RFakVNTDBfWHNndzFvZw?oc=5"" target=""_blank"">Weather Update: Heavy Snow in Kashmir & Ladakh, Thunderstorms in Maharashtra & Karnataka, Heatwave in Odisha & Gujarat</a>&nbsp;&nbsp;<font color=""#6f6f6f"">Krishi Jagran </font>",Heatwave,en
IMD Issues Nationwide Weather Alert; Everything To Know - ETV Bharat,https://news.google.com/rss/articles/CBMiqgFBVV95cUxQVWM1djVXN3Mwbi1YdkIzd0ViNWJUZUJhWTVvV3dvb20xWGhUWUllc3lkUDFIZmIzbFZ6LXhOcjdqVW9jc2pNaGRWU1M0T3lLOEpkNUJWT1RseF9hVm1RUV8wNWl4N2o2bEUycE1vb1pJSjNkSGl3Q3ZpcW84bTFnSWREaGRzbFZ4WjkteDJxUnktMkE2bk9aM2ZTX1lKbk5kN2hONHc4WXl3Z9IBrwFBVV95cUxPMWNua09RQWg0bHRJWFd6em9VUXp6V2pTQlhaYnNMbURCQnJ4bVpWUVR2WjFMVXFCaVRMcktqTFF0R1dVYzV4U2RVZVQwOUVKaXlkdE1aY2UtS2dIMmZSdXdSb1ZHNi1PQ0Z3WDFhM3RvbVFIekhZUnN3QlZVeW51ZWRhZ2puX0tWcGthOHBWRjN3YUM5d0l2bXNwanVPV0FmeDFjMV85R1FKQ2JkSGFR?oc=5,2025-03-26 17:06:44,ETV Bharat,"<a href=""https://news.google.com/rss/articles/CBMiqgFBVV95cUxQVWM1djVXN3Mwbi1YdkIzd0ViNWJUZUJhWTVvV3dvb20xWGhUWUllc3lkUDFIZmIzbFZ6LXhOcjdqVW9jc2pNaGRWU1M0T3lLOEpkNUJWT1RseF9hVm1RUV8wNWl4N2o2bEUycE1vb1pJSjNkSGl3Q3ZpcW84bTFnSWREaGRzbFZ4WjkteDJxUnktMkE2bk9aM2ZTX1lKbk5kN2hONHc4WXl3Z9IBrwFBVV95cUxPMWNua09RQWg0bHRJWFd6em9VUXp6V2pTQlhaYnNMbURCQnJ4bVpWUVR2WjFMVXFCaVRMcktqTFF0R1dVYzV4U2RVZVQwOUVKaXlkdE1aY2UtS2dIMmZSdXdSb1ZHNi1PQ0Z3WDFhM3RvbVFIekhZUnN3QlZVeW51ZWRhZ2puX0tWcGthOHBWRjN3YUM5d0l2bXNwanVPV0FmeDFjMV85R1FKQ2JkSGFR?oc=5"" target=""_blank"">IMD Issues Nationwide Weather Alert; Everything To Know</a>&nbsp;&nbsp;<font color=""#6f6f6f"">ETV Bharat</font>",Heatwave,en
